Country,Latitude,Longitude,Tariff Percentage
Afghanistan,33.7680065,66.2385139,10
Albania,5.7587654,-73.9151617,10
Algeria,28.0000272,2.9999825,30
Andorra,42.5407167,1.5732033,10
Angola,-11.8775768,17.5691241,32
Anguilla,18.1954947,-63.0750234,10
Antigua and Barbuda,17.2234721,-61.9554608,10
Argentina,-34.9964963,-64.9672817,10
Armenia,4.536307,-75.6723751,10
Aruba,12.5013629,-69.9618475,10
Australia,-24.7761086,134.755,10
Azerbaijan,40.3936294,47.7872508,10
Bahrain,26.030093,50.553336789123236,10
Bangladesh,24.4769288,90.2934413,37
Barbados,13.1500331,-59.5250305,10
Belize,17.1204943,-88.6859028,10
Benin,9.5293472,2.2584408,10
Bermuda,32.3040273,-64.7563086,10
Bhutan,27.549511,90.5119273,10
Bosnia and Herzegovina,44.3053476,17.5961467,35
Botswana,-23.1681782,24.5928742,37
Brazil,-10.3333333,-53.2,10
British Indian Ocean Territory,-5.3497093499999995,71.86064227010121,10
Burundi,-3.426449,29.9324519,10
Cabo Verde,16.0000552,-24.0083947,10
Cambodia,12.5433216,104.8144914,49
Cameroon,4.6125522,13.1535811,11
Cayman Islands,19.703182249999998,-79.9174627243246,10
Central African Republic,7.0323598,19.9981227,10
Chad,15.6134137,19.0156172,13
Chile,-31.7613365,-71.3187697,10
China,35.0000663,104.999955,105
Christmas Island,-10.4837768,105.64723,10
Cocos (Keeling) Islands,-12.0728315,96.8409375,10
Colombia,4.099917,-72.9088133,10
Comoros,-12.2045176,44.2832964,10
Cook Islands,-19.99697155,-157.78587140620786,10
Costa Rica,10.2735633,-84.0739102,10
Côte d'Ivoire,7.9897371,-5.5679458,21
Curaçao,12.1176488,-68.9309263,10
Djibouti,11.8145966,42.8453061,10
Dominica,15.4113138,-61.3653618,10
Dominican Republic,19.0974031,-70.3028026,10
Ecuador,-1.3397668,-79.3666965,10
Egypt,26.2540493,29.2675469,10
El Salvador,13.8000382,-88.9140683,10
Equatorial Guinea,1.613172,10.5170357,13
Eritrea,15.9500319,37.9999668,10
Eswatini,-26.5624806,31.3991317,10
Ethiopia,10.2116702,38.6521203,10
Fiji,-18.1239696,179.0122737,32
French Guiana,4.0039882,-52.999998,10
French Polynesia,-17.0243749,-144.6434898,10
Gabon,-0.8999695,11.6899699,10
Georgia,32.3293809,-83.1137366,10
Ghana,8.0300284,-1.0800271,10
Gibraltar,36.1285933,-5.3474761,10
Grenada,12.1360374,-61.6904045,10
Guadeloupe,16.2528827,-61.5686855,10
Guatemala,15.5855545,-90.345759,10
Guinea-Bissau,11.815215,-15.2351044,10
Guinea,10.7226226,-10.7083587,10
Guyana,4.8417097,-58.6416891,38
Haiti,19.1399952,-72.3570972,10
Honduras,15.2572432,-86.0755145,10
Iceland,64.9841821,-18.1059013,10
India,22.3511148,78.6677428,26
Indonesia,-2.4833826,117.8902853,32
Iraq,33.0955793,44.1749775,39
Israel,30.8124247,34.8594762,17
Jamaica,18.1850507,-77.3947693,10
Japan,36.5748441,139.2394179,24
Jordan,44.6663146,-93.6261918,20
Kazakhstan,48.1012954,66.7780818,27
Kenya,1.4419683,38.4313975,10
Kiribati,0.3448612,173.6641773,10
Kuwait,29.3796532,47.9734174,10
Kyrgyzstan,41.5089324,74.724091,10
Lebanon,40.375713,-76.4626118,10
Lesotho,-29.6039267,28.3350193,50
Liberia,5.7499721,-9.3658524,10
Libya,26.8234472,18.1236723,31
Liechtenstein,47.1416307,9.5531527,37
Madagascar,-18.9249604,46.4416422,47
Malawi,-13.2687204,33.9301963,17
Malaysia,4.5693754,102.2656823,24
Maldives,3.7203503,73.2244152,10
Mali,16.3700359,-2.2900239,10
Marshall Islands,8.9995549,168.0002575,10
Martinique,14.6113732,-60.9620777,10
Mauritania,20.2540382,-9.2399263,10
Mauritius,-20.2759451,57.5703566,40
Mayotte,-12.823048,45.1520755,10
Monaco,43.7323492,7.4276832,10
Mongolia,46.8250388,103.8499736,10
Montenegro,-29.6826112,-51.4687455,10
Montserrat,16.7417041,-62.1916844,10
Morocco,28.3347722,-10.371337908392647,10
Mozambique,-19.302233,34.9144977,16
Myanmar,17.1750495,95.9999652,44
Namibia,-23.2335499,17.3231107,21
Nauru,-0.5252306,166.9324426,30
Nepal,28.3780464,83.9999901,10
New Zealand,-41.5000831,172.8344077,10
Nicaragua,12.6090157,-85.2936911,18
Niger,17.7356214,9.3238432,10
Nigeria,9.6000359,7.9999721,14
Norfolk Island,-29.0328038,167.9483137,29
North Macedonia,41.6171214,21.7168387,33
Norway,64.5731537,11.52803643954819,15
Oman,21.0000287,57.0036901,10
Pakistan,30.3308401,71.247499,29
Panama,8.559559,-81.1308434,10
Papua New Guinea,-5.6816069,144.2489081,10
Paraguay,-23.3165935,-58.1693445,10
Peru,-6.8699697,-75.0458515,10
Philippines,12.7503486,122.7312101,17
Qatar,25.3336984,51.2295295,10
Réunion,-21.1309332,55.5265771,37
Rwanda,-1.9646631,30.0644358,10
Saint Kitts and Nevis,17.250512,-62.6725973,10
Saint Lucia,13.8250489,-60.975036,10
Saint Pierre and Miquelon,46.8374544,-56.2120555,50
Saint Vincent and the Grenadines,12.90447,-61.2765569,10
Samoa,-13.7693895,-172.12005,10
San Marino,43.9458623,12.458306,10
Saudi Arabia,25.6242618,42.3528328,10
Senegal,14.4750607,-14.4529612,10
Serbia,44.024322850000004,21.07657433209902,37
Sierra Leone,8.6400349,-11.8400269,10
Singapore,1.357107,103.8194992,10
Solomon Islands,-8.7053941,159.1070693851845,10
South Africa,-28.8166236,24.991639,30
